subject,difficulty,topic,question,option1,option2,option3,option4,answer,hint
Физика,easy,Механика,Как называется прибор для измерения температуры?,Термометр,Барометр,Гигрометр,Амперметр,Термометр,Название происходит от греческих слов 'thermo' (тепло) и 'metron' (мера)
Физика,easy,Механика,Что измеряется в ньютонах?,Масса,Сила,Энергия,Мощность,Сила,Единица названа в честь Исаака Ньютона
Физика,easy,Электричество,Как называется единица измерения силы тока?,Вольт,Ампер,Ом,Ватт,Ампер,Названа в честь французского физика Андре-Мари Ампера
Физика,easy,Механика,Что измеряется в килограммах?,Вес,Масса,Сила,Объем,Масса,Основная единица массы в системе СИ
Физика,medium,Механика,Автомобиль движется со скоростью 60 км/ч. Какой путь он пройдёт за 2 часа?,120 км,60 км,30 км,180 км,120 км,Путь = скорость × время. Не забудьте про единицы измерения
Физика,medium,Термодинамика,При каком значении температуры по шкале Цельсия вода закипает при нормальном атмосферном давлении?,0°C,50°C,100°C,373°C,100°C,"Это точка кипения воды, одна из основных реперных точек шкалы Цельсия"
Физика,medium,Механика,Тело массой 2 кг подняли на высоту 5 м. Какую работу совершили? (g = 10 м/с²),10 Дж,100 Дж,20 Дж,50 Дж,100 Дж,Работа по подъему равна изменению потенциальной энергии: A = mgh
Физика,medium,Электричество,"Напряжение на лампочке 220 В, сила тока 0.5 А. Какова мощность лампочки?",110 Вт,440 Вт,220 Вт,55 Вт,110 Вт,Мощность P = U × I
Физика,medium,Механика,Какая скорость будет у тела через 3 секунды свободного падения? (g = 10 м/с²),10 м/с,20 м/с,30 м/с,40 м/с,30 м/с,Скорость при свободном падении: v = gt
Физика,hard,Электричество,Два резистора сопротивлением 3 Ом и 6 Ом соединены параллельно. Найдите общее сопротивление цепи.,2 Ом,9 Ом,4.5 Ом,0.5 Ом,2 Ом,Для параллельного соединения: 1/R = 1/R₁ + 1/R₂
Физика,hard,Оптика,Чему равно абсолютное значение показателя преломления воздуха?,0,1,1.5,2,1,Это значение принято за эталон
Физика,hard,Механика,Мощность двигателя 1000 Вт. Какую работу он совершит за 10 секунд?,100 Дж,1000 Дж,10000 Дж,100000 Дж,10000 Дж,"Мощность P = A/t, следовательно A = P × t"
Физика,hard,Молекулярная физика,"Какое давление производит столб ртути высотой 76 см? (плотность ртути 13600 кг/м³, g = 9.8 м/с²)",1 Па,1000 Па,101325 Па,1000000 Па,101325 Па,Используйте формулу гидростатического давления: p = ρgh
Физика,hard,Электричество,"Сила тока в цепи 2 А, сопротивление 10 Ом. Найдите напряжение.",5 В,10 В,20 В,40 В,20 В,Используйте закон Ома: U = I × R
Информатика,easy,Основы,Как называется минимальная единица информации?,Байт,Бит,Килобайт,Слово,Бит,Может принимать значение 0 или 1
Информатика,easy,Основы,Как называется устройство для вывода информации на бумагу?,Монитор,Принтер,Сканер,Клавиатура,Принтер,Устройство печати
Информатика,easy,Основы,Сколько байт в одном килобайте?,100,1024,1000,8,1024,"В информатике используется двоичная система, поэтому 2¹⁰ = 1024"
Информатика,easy,Основы,Как называется основное устройство ввода информации в компьютер?,Монитор,Мышь,Клавиатура,Принтер,Клавиатура,С помощью этого устройства вводят текст и команды
Информатика,easy,Основы,Как называется программа для просмотра веб-страниц?,Процессор,Браузер,Текстовый редактор,Антивирус,Браузер,"Например: Chrome, Firefox, Edge"
Информатика,medium,Программирование,Что выведет программа на Python: print(2 ** 3)?,6,8,9,5,8,** - оператор возведения в степень в Python
Информатика,medium,Программирование,Какое ключевое слово используется в Python для определения функции?,func,def,function,define,def,Сокращение от английского 'define' (определять)
Информатика,medium,Алгоритмы,"Как называется алгоритм поиска элемента в отсортированном массиве, который делит массив пополам на каждом шаге?",Линейный поиск,Бинарный поиск,Пузырьковая сортировка,Быстрая сортировка,Бинарный поиск,"От латинского 'bis' - дважды, двойной"
Информатика,medium,Программирование,Что будет результатом выражения в Python: 10 // 3?,3,3.33,1,0,3,// - оператор целочисленного деления
Информатика,medium,Основы,"Как называется устройство, преобразующее аналоговый сигнал в цифровой?",ЦАП,АЦП,Процессор,Контроллер,АЦП,Аналогово-Цифровой Преобразователь
Информатика,hard,Алгоритмы,Какова временная сложность алгоритма пузырьковой сортировки в худшем случае?,O(n),O(n log n),O(n²),O(1),O(n²),В худшем случае требуется n*(n-1)/2 сравнений
Информатика,hard,Программирование,Что выведет программа на Python: print(7 % 3)?,2,1,0,3,1,% - оператор получения остатка от деления
Информатика,hard,Структуры данных,"Как называется структура данных, работающая по принципу 'первым пришел - первым ушел'?",Стек,Очередь,Список,Дерево,Очередь,Английское название - queue
Информатика,hard,Сети,Какой протокол используется для передачи гипертекста в Интернете?,FTP,HTTP,SMTP,TCP,HTTP,HyperText Transfer Protocol
Информатика,hard,Программирование,Какой тип данных в Python используется для хранения неизменяемых последовательностей элементов?,Список,Словарь,Кортеж,Множество,Кортеж,"Обозначается круглыми скобками: (1, 2, 3)"
История,easy,Россия,В каком году произошла Куликовская битва?,1240,1380,1480,1612,1380,Произошла в XIV веке
История,easy,Россия,Кто был первым русским царём?,Пётр I,Иван Грозный,Иван III,Василий III,Иван Грозный,Был венчан на царство в 1547 году
История,easy,Мир,В каком году началась Вторая мировая война?,1914,1939,1941,1945,1939,Началась с нападения Германии на Польшу
История,easy,Россия,Как назывался первый русский летописный свод?,Слово о полку Игореве,Повесть временных лет,Русская правда,Домострой,Повесть временных лет,Создан монахом Нестором в начале XII века
История,easy,Россия,Кто правил Россией в период Смутного времени?,Борис Годунов,Иван Грозный,Пётр I,Екатерина II,Борис Годунов,Правил с 1598 по 1605 год
История,medium,Россия,В каком году был издан манифест о вольности дворянства?,1762,1775,1785,1796,1762,"Издан Петром III, освобождал дворян от обязательной службы"
История,medium,Мир,Кто был первым президентом США?,Авраам Линкольн,Томас Джефферсон,Джордж Вашингтон,Бенджамин Франклин,Джордж Вашингтон,"Правил с 1789 по 1797 год, его именем названа столица США"
История,medium,Россия,В каком году произошло восстание декабристов?,1812,1825,1861,1905,1825,Произошло после смерти Александра I
История,medium,Россия,Кто был автором 'Истории государства Российского'?,В.О. Ключевский,С.М. Соловьёв,Н.М. Карамзин,Н.И. Костомаров,Н.М. Карамзин,Русский историк и писатель конца XVIII - начала XIX века
История,medium,Мир,В каком году была открыта Америка Христофором Колумбом?,1392,1492,1592,1692,1492,Произошло в конце XV века
История,hard,Россия,В каком году был созван первый Земский собор?,1549,1613,1649,1682,1549,Созван при Иване Грозном
История,hard,Россия,Кто был автором 'Слова о законе и благодати'?,Митрополит Иларион,Нестор Летописец,Иосиф Волоцкий,Максим Грек,Митрополит Иларион,"Первый русский митрополит, автор первого русского философского труда"
История,hard,Мир,"В каком году был подписан Вестфальский мирный договор, завершивший Тридцатилетнюю войну?",1618,1648,1700,1713,1648,Договор был подписан в XVII веке
История,hard,Россия,Кто был первым председателем ВЦИК Советской России?,В.И. Ленин,Л.Д. Троцкий,Я.М. Свердлов,М.И. Калинин,Я.М. Свердлов,Занимал эту должность с 1917 по 1919 год
История,hard,Россия,В каком году была проведена денежная реформа С.Ю. Витте?,1881,1897,1905,1914,1897,Реформа ввела золотой стандарт рубля
